category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,12/332,169/5974,0.07100591715976332,1.2776787623868255,0.8882468246053209,0.22912967592400965,0.9915929491154466,0.9915929491154466,5336/836/56924/5534/2790/8737/7124/2770/6891/5063/4772/2787,12
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,5/332,60/5974,0.08333333333333333,1.4994979919678715,0.9432297062889146,0.23942717530673435,0.9915929491154466,0.9915929491154466,5571/51422/2180/7124/3717,5
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,12/332,171/5974,0.07017543859649122,1.2627351511308391,0.845548860931156,0.2412277154520728,0.9915929491154466,0.9915929491154466,4803/2246/7422/51196/3479/2770/889/9771/4233/1943/57568/1942,12
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,3/332,31/5974,0.0967741935483871,1.741352506801399,1.0038099599947687,0.24635665197103937,0.9915929491154466,0.9915929491154466,836/79444/330,3
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,5/332,61/5974,0.08196721311475409,1.474916057673316,0.9043292755615032,0.24997769979492565,0.9915929491154466,0.9915929491154466,836/2790/2770/5321/2787,5
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,4/332,47/5974,0.0851063829787234,1.5314022045629325,0.8871633158188507,0.2636950708094228,0.9915929491154466,0.9915929491154466,836/3305/7124/3312,4
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,6/332,78/5974,0.07692307692307693,1.3841519925857275,0.8283624662381528,0.26504738195552685,0.9915929491154466,0.9915929491154466,5336/56924/27/399694/817/5063,6
Environmental Information Processing,Signal transduction,hsa04340,Hedgehog signaling pathway,4/332,48/5974,0.08333333333333333,1.4994979919678715,0.8427956785513561,0.2762303043307797,0.9915929491154466,0.9915929491154466,595/2737/84976/2619,4
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,3/332,33/5974,0.09090909090909091,1.6358159912376782,0.8883976449467939,0.2769411098604897,0.9915929491154466,0.9915929491154466,29958/23382/1491,3
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,3/332,33/5974,0.09090909090909091,1.6358159912376782,0.8883976449467939,0.2769411098604897,0.9915929491154466,0.9915929491154466,10058/23457/6891,3
NA,NA,hsa03272,Virion - Hepatitis viruses,3/332,33/5974,0.09090909090909091,1.6358159912376782,0.8883976449467939,0.2769411098604897,0.9915929491154466,0.9915929491154466,49861/128866/1364,3
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,8/332,112/5974,0.07142857142857142,1.2852839931153184,0.7392856345711247,0.2830416006111519,0.9915929491154466,0.9915929491154466,8439/5525/2534/7124/81537/2770/4217/9517,8
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,3/332,34/5974,0.08823529411764706,1.5877037562012757,0.833591851708646,0.2923767124667743,0.9915929491154466,0.9915929491154466,144110/122618/5321,3
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,6/332,81/5974,0.07407407407407407,1.3328871039714412,0.7316780357607869,0.29413927302047466,0.9915929491154466,0.9915929491154466,54675/11313/84803/9162/122618/5321,6
