names	scores	logfoldchanges	pvals	pvals_adj	cluster
FOSB	62.52672	2.2465973	0.0	0.0	7
VCAN	62.327305	2.3488984	0.0	0.0	7
NFKBIZ	61.6059	2.663773	0.0	0.0	7
ADM	59.823654	2.1314883	0.0	0.0	7
SQSTM1	58.683273	1.7389191	0.0	0.0	7
HSPH1	58.61323	2.4967825	0.0	0.0	7
COL9A3	58.22189	2.090977	0.0	0.0	7
PRG4	57.583874	2.7973974	0.0	0.0	7
KLF2	57.567913	2.2254212	0.0	0.0	7
MAP1LC3B	57.461296	1.7805488	0.0	0.0	7
PLOD2	57.23288	1.5871977	0.0	0.0	7
FBXO2	55.370632	1.8703774	0.0	0.0	7
SRSF7	55.082344	1.7824624	0.0	0.0	7
H3F3B	55.018684	1.0401484	0.0	0.0	7
FHL1	54.88162	1.9346707	0.0	0.0	7
SOCS1	54.87517	2.4009433	0.0	0.0	7
HSP90AA1	54.728134	1.4905461	0.0	0.0	7
GADD45G	54.252407	2.3846998	0.0	0.0	7
LGALS1	54.05651	4.0139585	0.0	0.0	8
TUBA1B	49.05117	3.1513488	0.0	0.0	8
TMSB10	47.47008	2.6928658	0.0	0.0	8
VIM	47.342266	1.9162818	0.0	0.0	8
PFN1	46.181675	2.7622054	0.0	0.0	8
TMSB4X	44.188095	3.5639591	0.0	0.0	8
POSTN	43.689896	4.466215	0.0	0.0	8
STMN1	43.284565	5.1817226	0.0	0.0	8
COL1A1	42.715588	4.4565744	0.0	0.0	8
ANXA2	42.63644	1.9176892	0.0	0.0	8
TUBB	42.073483	2.9854727	0.0	0.0	8
TPM4	41.376953	2.8368802	0.0	0.0	8
ACTB	41.06683	1.6543411	0.0	0.0	8
CFL1	40.40262	2.1423545	0.0	0.0	8
COL6A3	39.127644	3.0839713	0.0	0.0	8
MYL6	39.08347	1.6062344	0.0	0.0	8
TAGLN2	38.736927	2.149171	0.0	0.0	8
COL1A2	38.67868	2.9488428	0.0	0.0	8
HMGB1	38.20844	1.7921675	0.0	0.0	8
TOP2A	37.973858	6.580639	0.0	0.0	8
THY1	37.50225	2.823158	8.464405767145456e-308	4.3442448862273114e-305	8
COL6A1	37.02249	2.3925052	4.978245410629676e-300	2.4895056472695023e-297	8
SMC4	36.897552	4.0371385	5.058176763528963e-298	2.466240535477634e-295	8
TK1	36.767563	5.522541	6.093439554631064e-296	2.829532181761182e-293	8
NUSAP1	36.722713	5.9072537	3.1704916212436215e-295	1.4380022811421942e-292	8
TPX2	36.583317	6.3165374	5.268876620898946e-293	2.3354295622134574e-290	8
