names	scores	logfoldchanges	pvals	pvals_adj	cluster
TSC22D1	31.043814	1.2026823	1.3826779713812444e-211	7.031781658205742e-209	8
PNP	30.193224	1.9057428	2.906942981173485e-200	1.351645430731923e-197	8
EIF1	30.074873	0.46390173	1.0328236667790917e-198	4.542749284638631e-196	8
ADPRHL1	29.653458	2.0562863	3.060703932663062e-193	1.3107867315831229e-190	8
MTATP6P1	29.365852	1.2197638	1.499578891586954e-189	6.257473559406689e-187	8
PLAUR	28.919487	1.5599996	6.792463467639325e-184	2.7635137618090595e-181	8
SERPINA1	28.773235	1.2556535	4.639001401633959e-182	1.841344117321733e-179	8
BMP2	28.415087	1.88791	1.316548184594798e-177	5.101310751451367e-175	8
MT-ND4L	28.114555	0.9334184	6.503735322643823e-174	2.461436945132688e-171	8
PDE4B	28.089258	2.0258696	1.3252255809054894e-173	4.901527523558167e-171	8
CTGF	28.07558	1.1480902	1.9467617291282284e-173	7.040355639962842e-171	8
PMP22	27.885464	0.98673224	4.004106120875297e-171	1.3864430427898847e-168	8
GARS	27.726435	1.3554133	3.3528507117133125e-169	1.1367560933838008e-166	8
GPRC5A	27.719082	1.0853002	4.1120824241686956e-169	1.365714885120844e-166	8
AEBP1	27.49489	1.1699429	2.0208470959288718e-166	6.577453127829292e-164	8
TIMP3	26.440233	1.4115894	4.7258135141581106e-154	1.4789978678732518e-151	8
CCDC80	26.319958	1.1466298	1.1334715746214405e-152	3.48039932177157e-150	8
TNFAIP6	26.040579	2.2135596	1.7201170281450287e-149	5.089669912005854e-147	8
PTPRE	25.984993	2.3896742	7.318819675459618e-149	2.126901274971961e-146	8
SERPINE2	25.92191	1.5362462	3.7717460738883745e-148	1.0768665895870072e-145	8
DDX5	25.892628	0.5594842	8.062921907439083e-148	2.2239998495197227e-145	8
DGKI	25.645573	2.6961343	4.737166197148004e-145	1.2638138146292887e-142	8
RIPK2	25.57093	1.7107855	3.213081489096727e-144	8.433820669929054e-142	8
ATP1B1	24.410667	1.5187745	1.3176338930314935e-131	3.298949842337619e-129	8
TNFRSF11B	23.975508	1.7002116	5.0092526329514085e-127	1.1645796764093031e-124	8
TARS	23.738241	1.2408248	1.4533148495841178e-124	3.284895258629435e-122	8
BIRC2	23.697887	1.3115329	3.791133292661039e-124	8.451630575995308e-122	8
TM4SF1	23.40165	1.3513844	4.111395624848822e-121	8.803796368261806e-119	8
XBP1	23.357689	0.7668581	1.151260539585752e-120	2.4331966261322762e-118	8
ICAM1	23.215767	1.6938063	3.1558271261326855e-119	6.501003879833333e-117	8
LRRFIP1	23.120491	1.1337377	2.880909673372166e-118	5.717551710299832e-116	8
CHI3L2	114.06127	6.4392867	0.0	0.0	9
CHI3L1	108.10646	5.483593	0.0	0.0	9
MT2A	106.5643	3.6318	0.0	0.0	9
SERPINE2	103.97449	3.6967573	0.0	0.0	9
MT-CO1	99.38943	1.9619627	0.0	0.0	9
SOD2	97.48267	3.349613	0.0	0.0	9
MT1G	93.27647	4.020984	0.0	0.0	9
MT-CO3	92.348694	1.8298926	0.0	0.0	9
CRTAC1	87.10125	2.9219844	0.0	0.0	9
SLC39A14	85.71951	1.91836	0.0	0.0	9
MT1M	85.07526	3.887638	0.0	0.0	9
MMP3	78.76887	3.7320216	0.0	0.0	9
FN1	78.28224	1.479591	0.0	0.0	9
MT1L	78.12963	3.2510273	0.0	0.0	9
SLC7A2	77.00552	2.935572	0.0	0.0	9
BMP2	76.06785	2.9560573	0.0	0.0	9
ACKR3	76.014694	2.877205	0.0	0.0	9
SLPI	75.35385	2.7631702	0.0	0.0	9
C1S	73.66575	1.8674251	0.0	0.0	9
MT1E	72.94693	2.3469303	0.0	0.0	9
TIMP1	70.71058	2.0706198	0.0	0.0	9
PDE4B	70.51695	2.5771174	0.0	0.0	9
IFITM2	68.6369	1.6208494	0.0	0.0	9
IFITM3	68.38006	1.3436168	0.0	0.0	9
GLRX	67.66041	2.5288599	0.0	0.0	9
PDPN	66.983604	1.8447317	0.0	0.0	9
SPP1	66.635	3.9057682	0.0	0.0	9
MT1H	65.41869	4.416835	0.0	0.0	9
MT-CYB	64.45339	1.3592721	0.0	0.0	9
SOD3	64.14033	1.8139994	0.0	0.0	9
RPL10P9	62.44026	3.776348	0.0	0.0	9
C1R	62.27165	1.944363	0.0	0.0	9
MT1F	62.25752	2.2599192	0.0	0.0	9
CLU	62.19851	1.3967346	0.0	0.0	9
MT-CO2	58.803112	1.3233329	0.0	0.0	9
MT1X	56.362377	1.4350383	0.0	0.0	9
AKR1C2	55.779915	2.5222354	0.0	0.0	9
NT5E	53.71862	1.702321	0.0	0.0	9
TNFAIP8	52.81905	2.698722	0.0	0.0	9
TNFRSF11B	52.74646	1.8258268	0.0	0.0	9
GJA1	52.082287	1.975635	0.0	0.0	9
RPLP0	51.73699	0.5616397	0.0	0.0	9
TGM2	50.87532	2.3541415	0.0	0.0	9
MT-ATP6	50.211853	1.1058234	0.0	0.0	9
CXCL8	49.932793	3.2388568	0.0	0.0	9
LUM	48.545128	0.9043949	0.0	0.0	9
MGP	48.329063	1.4962263	0.0	0.0	9
GLUL	48.292583	1.6653292	0.0	0.0	9
MT-ND3	48.077133	1.1328595	0.0	0.0	9
SLC25A37	47.485058	1.286707	0.0	0.0	9
MT2A	33.114357	2.9560266	1.8466948763161004e-240	1.8783195260730139e-237	10
CHI3L2	31.50308	4.1523585	7.882521030770367e-218	7.545891014985703e-215	10
CHI3L1	30.924284	3.6421978	5.633944731824636e-210	5.093712031428563e-207	10
SERPINE2	30.137333	2.7567017	1.572024777901743e-199	1.3464805913459456e-196	10
MT1E	29.947306	2.523274	4.7700788714383986e-197	3.881413177689425e-194	10
FN1	29.729923	1.4686844	3.1527328959946736e-194	2.4432178642579676e-191	10
SLC39A14	26.297417	1.5253279	2.0527728919061447e-152	1.3919510851200248e-149	10
CRTAC1	26.181707	2.1562707	4.2936283168620834e-151	2.794980289144542e-148	10
SOD2	26.120958	2.3048897	2.107540741854171e-150	1.2703006678864732e-147	10
MT1G	25.984785	2.749538	7.358650209023683e-149	4.276952625058979e-146	10
MT1M	25.338593	2.615696	1.2004668578171624e-141	6.736688842798793e-139	10
MT1L	22.317303	2.062484	2.5098426372231665e-110	1.1345883077269392e-107	10
C1S	21.46163	1.3871808	3.556164988854547e-102	1.5641359196924026e-99	10
IFITM3	20.21672	1.0578344	6.977081826366549e-91	2.703453086721172e-88	10
IFITM2	20.159473	1.2400693	2.222383272296865e-90	8.410945435664925e-88	10
MT1X	20.065525	1.324064	1.4772017082984589e-89	5.4636319547384365e-87	10
SPP1	19.299402	2.549318	5.433373788146617e-83	1.8813345750701713e-80	10
MT1H	18.70645	2.528729	4.38644793538861e-78	1.4871886187607133e-75	10
SLC7A2	18.672789	1.5884435	8.243527686847077e-78	2.737860603586721e-75	10
GLRX	18.581274	1.6874456	4.55555825000005e-77	1.4827430992100164e-74	10
MT1F	18.562712	1.6626844	6.4370918570384676e-77	2.054063389832236e-74	10
BMP2	18.379356	1.6759007	1.9223786197050702e-75	6.016305703284676e-73	10
CLU	18.366285	1.0890326	2.4459149495991604e-75	7.510343375429572e-73	10
HSPA1B	18.27993	1.060188	1.1957809826156488e-74	3.603729576127235e-72	10
RPL10P9	17.905575	2.1656606	1.0668673009354422e-71	3.1003925813256046e-69	10
TIMP1	17.644985	1.3894149	1.1120228837730929e-69	3.174922879039178e-67	10
RPLP0	17.632507	0.49725452	1.386800156503001e-69	3.891169956367213e-67	10
TGM2	17.406527	1.8941138	7.361780184110698e-68	2.0306035714613134e-65	10
ULBP1	17.390747	1.7694409	9.696210277704401e-68	2.6299354343226905e-65	10
